ip,time,method,path,status,size,referrer,user_agent,anomalous,category
17.58.97.4,2019-01-22 03:59:15.128,GET,/amp_preconnect_polyfill_404_or_other_error_expected._Do_not_worry_about_it?1548117000000,304,37047,https://www.zanbil.ir/login/auth,Dalvik/2.1.0 (Linux; U; Android 5.0.2; SM-A300H Build/LRX22G),0,not anomalous
207.46.13.136,2019-01-22 03:59:15.600,GET,/image/38782/productModel/200x200,304,11373,https://www.zanbil.ir/m/filter/b99%2Cp4510%2Cstexists%2Ct116,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36",0,not anomalous
66.249.83.5,2019-01-22 03:59:15.840,GET,"/m/filter/b105,b113,b118,b126,b135,b136,b152,b168,b188,b192,b194,b209,b213,b215,b216,b217,b218,b221,b226,b249,b32,b35,b4,b400,b41,b435,b442,b454,b482,b523,b542,b548,b574,b597,b598,b6,b645,b648,b656,b67,b679,b703,b723,b724,b74,b820,b854,b88,b880,b95,b99,stexists",302,69808,"https://www.zanbil.ir/filter/p65,b1?page=0","Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",0,not anomalous
54.36.148.10,2019-01-22 03:59:16.327,GET,/m/browse/hood/%D9%87%D9%88%D8%AF,304,110347,https://www.zanbil.ir/m/filter/b1%2Cp1?page=1,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:16.0)Gecko/16.0 Firefox/16.0,0,not anomalous
66.249.66.197,2019-01-22 03:59:16.612,GET,/image/6239/productModel/150x150,301,64366,https://www.zanbil.ir/m/filter/p2597?page=1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.7(KHTML, like Gecko) Chrome/16.0.912.36 Safari/535.7",0,not anomalous
66.249.83.7,2019-01-22 03:59:16.764,GET,/image/16219?name=8437e-2.jpg&wh=max,200,59008,https://www.zanbil.ir/m/filter/b99%2Cp4510%2Cstexists,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-E700H Build/LMY47X),0,not anomalous
17.58.97.4,2019-01-22 03:59:17.154,GET,/image/1191/article/100x100,304,11270,https://www.zanbil.ir/m/filter/p3?page=2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36",0,not anomalous
54.36.148.185,2019-01-22 03:59:17.276,GET,"/filter/stexists,p12595?page=2",200,3971,"https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/filter/b1,p1?amp_js_v=0.1&usqp=mq331AQECAEoAQ%3D%3D","Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",0,not anomalous
66.249.64.66,2019-01-22 03:59:17.433,GET,"/m/filter/b20,b238,b3,b5,b543,b570,b601,b741,b890,p51,stexists",302,54731,https://www.zanbil.ir/m/filter/b1%2Cp1?page=1,torob/5 CFNetwork/976 Darwin/18.2.0,0,not anomalous
2.179.141.98,2019-01-22 03:59:17.915,GET,/?utm_source=2&utm_medium=21&utm_campaign=Z&utm_term=202&utm_content=2003,404,163131,"https://www.zanbil.ir/m/filter?f=p12,b185","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3) AppleWebKit/534.55.3 (KHTML, like Gecko) Version/5.1.3 Safari/534.53.10",0,not anomalous
66.249.66.194,2019-01-22 03:59:18.134,GET,"/filter/stexists,p18556?page=1",200,181982,https://www.zanbil.ir/m/filter/p62?page=1,Googlebot-Image/1.0,0,not anomalous
40.77.167.129,2019-01-22 03:59:18.432,GET,/image/32756?name=eb-x05-11.jpg&wh=200x200,302,117618,"https://www.zanbil.ir/filter/p65,b1?page=2","Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",0,not anomalous
54.36.148.17,2019-01-22 03:59:18.771,GET,/image/65134/productModel/200x200,302,71562,https://www.zanbil.ir/m/filter/p29%2Cb103,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:16.0)Gecko/16.0 Firefox/16.0,0,not anomalous
5.123.89.112,2019-01-22 03:59:18.940,GET,/image/20912?name=toop+sabz.jpg&wh=200x200,404,143050,https://www.zanbil.ir/m/browse/refrigerator-and-freezer/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-E700H Build/LMY47X),0,not anomalous
54.36.149.92,2019-01-22 03:59:19.203,GET,/image/57737/productModel/200x200,404,87737,https://znbl.ir/static/bundle-bundle_site_head.css,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",0,not anomalous
157.55.39.245,2019-01-22 03:59:19.600,GET,/filter/b481%2Cb226%2Cb570%2Cb80%2Cb270%2Cb903%2Cb883%2Cb152%2Cb249%2Cb20%2Cb701%2Cb723%2Cb42%2Cb198%2Cb35%2Cb183%2Cb219%2Cb308%2Cb126%2Cb523%2Cb900%2Cb188%2Cb703%2Cb890%2Cb236%2Cb74%2Cb400%2Cb209%2Cb19%2Cb454%2Cb651%2Cb202%2Cb4%2Cb22%2Cb238%2Cb6%2Cb596%2Cb143%2Cb877%2Cb485%2Cb221%2Cb194%2Cb136%2Cb647%2Cb497%2Cb546%2Cb105%2Cb185%2Cb568%2Cb151%2Cb88%2Cb43%2Cb597%2Cb103%2Cb613%2Cb880%2Cb212%2Cb861%2Cb148%2Cb135%2Cb186%2Cb778%2Cb113%2Cb99%2Cb584%2Cb724?page=175,404,130163,https://www.zanbil.ir/m/browse/citrus-only-juicer/%D8%A2%D8%A8-%D9%BE%D8%B1%D8%AA%D9%82%D8%A7%D9%84-%DA%AF%DB%8C%D8%B1%DB%8C,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),0,not anomalous
66.249.66.197,2019-01-22 03:59:19.879,GET,/m/product/33978/64784/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-Galaxy-A9-%282018%29-Dual-128GB-%28SM-A920%29,200,78019,https://www.zanbil.ir/m/filter/p25%2Cb103%2Cb50,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",0,not anomalous
66.249.83.92,2019-01-22 03:59:20.228,GET,/image/11573/productModel/200x200,200,121608,https://znbl.ir/static/bundle-bundle_site_head.css,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.92 Safari/537.36",0,not anomalous
54.36.148.32,2019-01-22 03:59:20.641,GET,/image/1215/mainSlide,404,125832,https://www.zanbil.ir/m/browse/food-preparation/%D8%A2%D9%85%D8%A7%D8%AF%D9%87-%D8%B3%D8%A7%D8%B2%DB%8C-%D8%BA%D8%B0%D8%A7,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:16.0)Gecko/16.0 Firefox/16.0,0,not anomalous
5.78.198.52,2019-01-22 03:59:20.832,GET,/image/62016/productModel/200x200,304,62621,"https://www.zanbil.ir/filter/b1,p62","Mozilla/5.0 (Linux; Android 6.0.1; SM-N915F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36",0,not anomalous
54.36.148.22,2019-01-22 03:59:20.989,GET,/image/2080/productModel/200x200,304,91515,https://www.zanbil.ir/m/product/33631/64998/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D8%A7%D9%BE%D9%84-%D9%85%D8%AF%D9%84-iPhone-XS-256GB,"Mozilla/5.0 (Linux; Android 5.1.1; SM-G361H Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36",0,not anomalous
66.249.66.194,2019-01-22 03:59:21.452,GET,/filter/b211%2Cb502%2Cb460%2Cb487%2Cb568%2Cb445%2Cb268%2Cb158%2Cb524%2Cb554%2Cb118%2Cb375%2Cb503%2Cb171%2Cb546%2Cb538%2Cb462%2Cb266%2Cb655%2Cb212%2Cb542?page=4,404,654,https://www.zanbil.ir/m/product/30782/60550/%DA%A9%D8%AA%D8%B1%DB%8C-%D8%A8%D8%B1%D9%82%DB%8C-%DA%AF%D8%A7%D8%B3%D8%AA%D8%B1%D9%88%D8%A8%DA%A9-%D9%85%D8%AF%D9%84-42420,"Mozilla/5.0 (Linux; Android 6.0.1; SM-N915F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36",0,not anomalous
54.36.149.68,2019-01-22 03:59:21.677,GET,/image/8727/specialSale?role=e1,302,64552,https://znbl.ir/static/bundle-bundle_site_head.css,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/71.0.3578.89 Mobile/15E148 Safari/605.1",0,not anomalous
172.20.2.174,2019-01-22 03:59:22.108,GET,/image/1195/article/100x100,404,10264,https://www.zanbil.ir/m/product/30782/60550/%DA%A9%D8%AA%D8%B1%DB%8C-%D8%A8%D8%B1%D9%82%DB%8C-%DA%AF%D8%A7%D8%B3%D8%AA%D8%B1%D9%88%D8%A8%DA%A9-%D9%85%D8%AF%D9%84-42420,Barkrowler/0.9 (+http://www.exensa.com/crawl),0,not anomalous
157.55.39.245,2019-01-22 03:59:22.218,GET,/product/21891/46412/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D9%85%D8%A7%D8%B3%D8%A7%DA%98%D9%88%D8%B1-rain-sport-%D9%85%D8%AF%D9%84-RK-2106b,302,50233,https://www.zanbil.ir/m/product/5820/6404/%D8%A2%D8%A8-%D9%BE%D8%B1%D8%AA%D9%82%D8%A7%D9%84-%DA%AF%DB%8C%D8%B1%DB%8C-%DA%AF%D8%A7%D8%B3%D8%AA%D8%B1%D9%88%D8%A8%DA%A9-%D9%85%D8%AF%D9%84-41138,Mozilla/5.0 (Android 8.0.0; Mobile; rv:62.0.3) Gecko/62.0.3 Firefox/62.0.3,0,not anomalous
207.46.13.115,2019-01-22 03:59:22.362,GET,/product/33339/63978/%D8%AA%D9%88%D8%B3%D8%AA%D8%B1-%D9%85%DB%8C%D8%AF%DB%8C%D8%A7-%D9%85%D8%AF%D9%84-MG25CHB,404,42593,https://www.zanbil.ir/m/product/32574/62991/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%A7%D8%B5%D9%84%D8%A7%D8%AD-%D8%B5%D9%88%D8%B1%D8%AA-%D9%BE%D8%B1%D9%86%D8%B3%D9%84%DB%8C-%D9%85%D8%AF%D9%84-PR465AT,"Mozilla/5.0 (Linux; Android 5.0; SM-G900H Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.93 Mobile Safari/537.36",0,not anomalous
5.211.97.39,2019-01-22 03:59:22.538,GET,/image/28821?name=-gold-select...-.jpg&wh=max,304,176885,https://www.zanbil.ir/m/product/28821/57721/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D8%A7%D9%BE%D9%84-%D9%85%D8%AF%D9%84-iPhone-7-128GB,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/8.0.2 Safari/600.2.5 (Applebot/0.1; +http://www.apple.com/go/applebot)",0,not anomalous
54.36.148.23,2019-01-22 03:59:22.696,GET,"/filter/stexists,p12595?page=2",302,74536,-,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",0,not anomalous
66.249.83.93,2019-01-22 03:59:22.929,GET,/filter/b142%2Cb41%2Cb435%2Cb19%2Cb619,304,171972,-,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",0,not anomalous
5.217.191.165,2019-01-22 03:59:23.414,GET,/m/updateVariation?__amp_source_origin=https%3A%2F%2Fwww.zanbil.ir,302,9547,https://www.zanbil.ir/m/product/32976/63535/%DA%A9%D8%AA%D8%B1%DB%8C-%D8%A8%D8%B1%D9%82%DB%8C-%DA%AF%D8%A7%D8%B3%D8%AA%D8%B1%D9%88%D8%A8%DA%A9-%D9%85%D8%AF%D9%84-42429,torob/5 CFNetwork/976 Darwin/18.2.0,0,not anomalous
54.36.148.28,2019-01-22 03:59:23.676,GET,"/m/filter/b105,b126,b136,b143,b148,b151,b152,b183,b185,b186,b188,b19,b194,b198,b2,b20,b202,b209,b215,b219,b22,b226,b236,b238,b249,b270,b3,b308,b32,b35,b36,b4,b400,b41,b42,b43,b435,b454,b481,b485,b497,b546,b570,b584,b596,b597,b598,b6,b603,b614,b619,b645,b647,b648,b651,b67,b701,b723,b74,b80,b82,b820,b854,b874,b877,b878,b88,b883,b890,b900,b903,b99",301,137842,https://www.zanbil.ir/login/auth,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",0,not anomalous
54.36.148.161,2019-01-22 03:59:23.907,GET,/image/52485/productModel/200x200,304,19891,https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/article/594/-%D9%87%D9%86%D8%B1-%D9%85%D8%AC%D8%B3%D9%85%D9%87-%D8%B3%D8%A7%D8%B2%DB%8C?amp_js_v=a2&amp_gsa=1&usqp=mq331AQCCAE%3D,"Mozilla/5.0 (Linux; Android 7.0; SM-G925F Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36",0,not anomalous
54.36.149.54,2019-01-22 03:59:24.354,GET,"/filter?f=p53,b19&o=b&page=1",404,162851,https://www.zanbil.ir/m/filter/b113,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36",0,not anomalous
31.56.96.51,2019-01-22 03:59:24.710,GET,/image/19135?name=4039+%281%29.jpg&wh=300x300,304,11230,https://www.zanbil.ir/m/product/32976/63535/%DA%A9%D8%AA%D8%B1%DB%8C-%D8%A8%D8%B1%D9%82%DB%8C-%DA%AF%D8%A7%D8%B3%D8%AA%D8%B1%D9%88%D8%A8%DA%A9-%D9%85%D8%AF%D9%84-42429,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",0,not anomalous
54.36.148.118,2019-01-22 03:59:25.033,GET,/image/65362/productModel/200x200,404,118472,https://www.zanbil.ir/m/filter/p62%2Cb5?page=1,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",0,not anomalous
54.36.148.137,2019-01-22 03:59:25.379,GET,/static/css/font_awesome/fonts/fontawesome-webfont.woff2?v=4.7.0,200,58401,https://www.zanbil.ir/m/filter/p62?page=1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.7(KHTML, like Gecko) Chrome/16.0.912.36 Safari/535.7",0,not anomalous
54.36.148.17,2019-01-22 03:59:25.855,GET,/browse/flute-keys/www.zanbil.ir,200,159573,https://www.zanbil.ir/m/filter/b113?page=1,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",0,not anomalous
54.36.148.70,2019-01-22 03:59:26.349,GET,/image/64332/productModel/200x200,301,69663,https://www.zanbil.ir/m/filter/b99%2Cp4510%2Cstexists%2Ct116,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G955F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36",0,not anomalous
54.36.148.211,2019-01-22 03:59:26.686,GET,/image/11/productTypeType,301,61142,https://www.zanbil.ir/login/auth,Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-J710F Build/MMB29K),0,not anomalous
54.36.148.57,2019-01-22 03:59:26.856,GET,/image/28881?name=img_7932.png&wh=200x200,302,6295,https://www.zanbil.ir/m/browse/fryer/%D8%B3%D8%B1%D8%AE-%DA%A9%D9%86,-,0,not anomalous
178.253.33.51,2019-01-22 03:59:27.277,GET,/product/30472/60169/%D8%B9%D8%B7%D8%B1-%D9%88-%D8%A7%D8%AF%DA%A9%D9%84%D9%86-%D8%B2%D9%86%D8%A7%D9%86%D9%87-%D8%AF%DB%8C%D9%88%D8%B1-%D9%85%D8%AF%D9%84-Poison-Girl,200,60744,https://www.zanbil.ir/m/browse/food-preparation/%D8%A2%D9%85%D8%A7%D8%AF%D9%87-%D8%B3%D8%A7%D8%B2%DB%8C-%D8%BA%D8%B0%D8%A7,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",0,not anomalous
17.58.102.43,2019-01-22 03:59:27.568,GET,/filter/p6385%2Cv1%7CBLACK%20LEATHER%2Cv1%7C%D9%85%D8%B4%DA%A9%DB%8C%20%D8%A2%D8%A8%DB%8C,304,83239,https://www.zanbil.ir/m/filter/p62%2Cb5,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),0,not anomalous
54.36.149.58,2019-01-22 03:59:27.900,GET,/image/56798/productModel/200x200,301,87402,https://www.google.com/search?q=%D8%B3%D8%B1%D8%AE+%DA%A9%D9%86&ie=utf-8&oe=utf-8&client=firefox-b,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",0,not anomalous
54.36.148.72,2019-01-22 03:59:28.316,GET,/image/11568/productModel/200x200,304,158453,-,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",0,not anomalous
